Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Audi A1 (Sport),Audi,12/05/2024,"€10,971.00",2016,"53,488",Hatchback,Manual,Petrol,Black Audi A11.0 T FSi Sport Sportback 5dr,Galway
Audi S3 (TFSI),Audi,14/05/2024,"€27,150.00",2018,"36,234",Hatchback,Automatic,Petrol,Blue Audi A32.0 S3 SPORTBACK QUATTRO 5d 306 BHP2 previous owners,Galway
Audi A1 (TFSI),Audi,14/05/2024,"€7,784.00",2014,"73,214 miles",Hatchback,Manual,Petrol,Red Audi A11.4 TFSI Sport 3dr4 previous owners,Meath
Audi Q5 (Black Edition),Audi,14/05/2024,"€ 42,673",2020,"25,061",SUV,Automatic,Petrol Plug-In Hybrid,Black Audi Q5Black Edition 50 TFSI e quattro 299 PS S tronic 2.0 5dr1 previous owner,Dublin
Audi A1 (TFSI),Audi,17/05/2024,"€7,334.00",2014,"53,438",Hatchback,Manual,Petrol,Blue Audi A11.4 TFSI Sport Sportback Euro 5 (s/s) 5dr2 previous owners,Dublin
Audi A6 Avant (Black Edition),Audi,17/05/2024,"€15,620.00",2016,"120,597",Estate,Automatic,Diesel,Audi A6 Avant2.0 TDI ultra Black Edition S Tronic Euro 6 (s/s) 5dr4 previous owners,Dublin
Audi A4 (TFSI),Audi,19/05/2024,"€21,296.00",2017,"28,463",Saloon,Automatic,Petrol,Navy Audi A42.0 TFSI S line S Tronic Euro 6 (s/s) 4dr1 previous owner,Wicklow
Audi A4 Cabriolet (Sport),Audi,20/05/2024,"€2,743.00",2008,"105,983",Convertible,Automatic,Petrol,Grey Audi A4 Cabriolet1.8T Sport Multitronic 2dr,Cork
Audi Q2 (TDI),Audi,22/05/2024,"€21,631.00",2017,"31,283",SUV,Automatic,Diesel,Blue Audi Q22.0 TDI Quattro S Line 5dr S Tronic,Kerry
Audi A4 Avant (S line),Audi,22/05/2024,"€30,624.00",2021,"20,196",Estate,Automatic,Diesel,Black Audi A435 TDI S Line 5dr S Tronic 2.0,Dublin
Audi A4 (TFSI),Audi,23/05/2024,"€3,594.00",2008,"159,444",Saloon,Manual,Petrol,Red Audi A41.8 TFSI S line Euro 4 4dr4 previous owners,Kilkenny
Audi Q5 (S line),Audi,2024-05-24,"€6,938.00",2011,"133,333",SUV,Automatic,Diesel,Red Audi Q53.0 TDI V6 S line SUV 5dr Diesel S Tronic quattro Euro 4 (240 ps)3 previous owners,Dublin
